"DATE","POPULATION","GROUP","SUBGROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS"
"2021-06-11","All ages","Age","65-74",718795,"42220","520603","562823",5.87,72.43,78.3
"2021-06-11","All ages","Age","75-84",382674.58,"20053","250465","270518",5.24,65.45,70.69
"2021-06-11","All ages","Age","85+",178938,"8743","92131","100874",4.89,51.49,56.37
"2021-06-11","All ages","Borough","Citywide",8336817,"575914","3862817","4438731",6.91,46.33,53.24
"2021-06-11","All ages","Borough","Bronx",1421020.59,"94149","531262","625411",6.63,37.39,44.01
"2021-06-11","All ages","Borough","Brooklyn",2559903,"162100","1038438","1200538",6.33,40.57,46.9
"2021-06-11","All ages","Borough","Manhattan",1611420.17,"111284","937799","1049083",6.91,58.2,65.1
"2021-06-11","All ages","Borough","Queens",2268330.23,"180421","1149123","1329544",7.95,50.66,58.61
"2021-06-11","All ages","Borough","Staten Island",476143,"27960","206195","234155",5.87,43.31,49.18
"2021-06-11","All ages","Race/ethnicity","Asian/NHPI",1233642,"110722","727554","838276",8.98,58.98,67.95
"2021-06-11","All ages","Race/ethnicity","Black",1825848,"75250","468941","544191",4.12,25.68,29.8
"2021-06-11","All ages","Race/ethnicity","Hispanic/Latino",2423590,"152519","782397","934916",6.29,32.28,38.58
"2021-06-11","All ages","Race/ethnicity","Native American/Alaska Native",18864,"2318","9686","12004",12.29,51.35,63.63
"2021-06-11","All ages","Race/ethnicity","Other",,"52460","353149","405609",,,
"2021-06-11","All ages","Race/ethnicity","Multiracial",152897,"273","2896","3169",0.18,1.89,2.07
"2021-06-11","All ages","Race/ethnicity","Unknown",,"74529","410180","484709",,,
"2021-06-11","All ages","Race/ethnicity","White",2681976,"107843","1108014","1215857",4.02,41.31,45.33
"2021-06-11","All ages","Sex","Female",4358375.42,"300758","2045503","2346261",6.9,46.93,53.83
"2021-06-11","All ages","Sex","Male",3978441.58,"272020","1773828","2045848",6.84,44.59,51.42
"2021-06-11","All ages","Sex","Other",,"61","146","207",,,
"2021-06-11","All ages","Sex","Prefer not to answer",,"<10","<10","<10",,,
"2021-06-11","All ages","Sex","Unknown",,"3070","43340","46410",,,
