"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS"
2022-01-26,"Forest Hills","Queens","11375","11375","'5-17",7238.28,663,5199,5862,9.16,71.83,80.99
2022-01-26,"Woodside","Queens","11377","11377","'5-17",10652.66,1393,7528,8921,13.08,70.67,83.74
2022-01-26,"Maspeth","Queens","11378","11378","'5-17",5485.31,520,2947,3467,9.48,53.73,63.21
2022-01-26,"Middle Village","Queens","11379","11379","'5-17",4940.58,416,2457,2873,8.42,49.73,58.15
2022-01-26,"Glendale/Ridgewood","Queens","11385","11385","'5-17",16854.16,1634,6582,8216,9.69,39.05,48.75
2022-01-26,"Cambria Heights","Queens","11411","11411","'5-17",2619.29,296,1089,1385,11.3,41.58,52.88
2022-01-26,"St. Albans","Queens","11412","11412","'5-17",5469.76,599,2291,2890,10.95,41.88,52.84
2022-01-26,"Laurelton/Rosedale","Queens","11413","11413","'5-17",6203.74,620,2374,2994,9.99,38.27,48.26
2022-01-26,"Hamilton Beach/Howard Beach/Lindenwood","Queens","11414","11414","'5-17",3884.69,288,1387,1675,7.41,35.7,43.12
2022-01-26,"Kew Gardens","Queens","11415","11415","'5-17",2343,218,1063,1281,9.3,45.37,54.67
2022-01-26,"Ozone Park","Queens","11416","11416","'5-17",4796.07,486,2565,3051,10.13,53.48,63.61
2022-01-26,"Ozone Park","Queens","11417","11417","'5-17",5320.45,511,2814,3325,9.6,52.89,62.49
2022-01-26,"Richmond Hill","Queens","11418","11418","'5-17",6120.65,697,3069,3766,11.39,50.14,61.53
2022-01-26,"Richmond Hill/South Ozone Park","Queens","11419","11419","'5-17",7672.22,823,3832,4655,10.73,49.95,60.67
2022-01-26,"South Ozone Park","Queens","11420","11420","'5-17",7907.06,845,3721,4566,10.69,47.06,57.75
2022-01-26,"Woodhaven","Queens","11421","11421","'5-17",6739.87,857,3636,4493,12.72,53.95,66.66
2022-01-26,"Rosedale","Queens","11422","11422","'5-17",5021.2,509,1641,2150,10.14,32.68,42.82
2022-01-26,"Hollis/Holliswood","Queens","11423","11423","'5-17",4177.18,478,2353,2831,11.44,56.33,67.77
2022-01-26,"Bellerose","Queens","11426","11426","'5-17",2986.77,292,1416,1708,9.78,47.41,57.19
2022-01-26,"Bellerose/Hollis Hills/Holliswood","Queens","11427","11427","'5-17",3193.24,344,1774,2118,10.77,55.55,66.33
2022-01-26,"Queens Village","Queens","11428","11428","'5-17",2757.5,321,1533,1854,11.64,55.59,67.23
2022-01-26,"Queens Village","Queens","11429","11429","'5-17",4400.13,446,1930,2376,10.14,43.86,54
2022-01-26,"Hillcrest/Jamaica Estates/Jamaica Hills","Queens","11432","11432","'5-17",8279.12,1291,5880,7171,15.59,71.02,86.62
2022-01-26,"Jamaica","Queens","11433","11433","'5-17",6053.78,770,2907,3677,12.72,48.02,60.74
2022-01-26,"Airport/South Jamaica/Springfield Gardens/St. Albans","Queens","11434","11434","'5-17",9596.74,1136,3807,4943,11.84,39.67,51.51
2022-01-26,"Briarwood/Jamaica","Queens","11435","11435","'5-17",8426.14,1044,4273,5317,12.39,50.71,63.1
2022-01-26,"South Jamaica/South Ozone Park","Queens","11436","11436","'5-17",3320.44,469,1495,1964,14.12,45.02,59.15
2022-01-26,"Edgemere/Far Rockaway","Queens","11691","11691","'5-17",12334.24,1117,3647,4764,9.06,29.57,38.62
2022-01-26,"Arverne/Edgemere","Queens","11692","11692","'5-17",3837.72,380,1334,1714,9.9,34.76,44.66
2022-01-26,"Arverne/Broad Channel","Queens","11693","11693","'5-17",2083.61,175,611,786,8.4,29.32,37.72
2022-01-26,"Belle Harbor-Neponsit/Rockaway Park","Queens","11694","11694","'5-17",3104.37,165,1058,1223,5.32,34.08,39.4
2022-01-26,"Breezy Point","Queens","11697","11697","'5-17",530.9,36,227,263,6.78,42.76,49.54
