"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL","PERC_BIVALENT_ADDITIONAL"
2023-07-13,"Concourse/Melrose","Bronx","10451","10451","18+",35946.71,3792,35024,38816,15139,4836,10.55,97.43,107.98,42.12,13.45
2023-07-13,"Concourse/Highbridge","Bronx","10452","10452","18+",54805.81,5867,51722,57589,21000,5814,10.71,94.37,105.08,38.32,10.61
2023-07-13,"Morris Heights/Mount Hope/University Heights","Bronx","10453","10453","18+",57359.96,6096,51626,57722,19879,4884,10.63,90,100.63,34.66,8.51
2023-07-13,"Mott Haven/Port Morris","Bronx","10454","10454","18+",27397.39,3163,25084,28247,10163,3111,11.54,91.56,103.1,37.09,11.36
2023-07-13,"Mott Haven","Bronx","10455","10455","18+",30573.43,3216,27617,30833,11215,3133,10.52,90.33,100.85,36.68,10.25
2023-07-13,"Claremont/Morrisania","Bronx","10456","10456","18+",66839.64,6848,58416,65264,22898,6652,10.25,87.4,97.64,34.26,9.95
2023-07-13,"Belmont/Claremont/Mount Hope/Tremont","Bronx","10457","10457","18+",53117.58,6444,48505,54949,18810,4831,12.13,91.32,103.45,35.41,9.09
2023-07-13,"Belmont/Fordham University/Kingsbridge","Bronx","10458","10458","18+",60560.21,6308,52258,58566,21088,6198,10.42,86.29,96.71,34.82,10.23
2023-07-13,"Charlotte Gardens/Hunts Point","Bronx","10459","10459","18+",34636.24,3722,31982,35704,12995,3598,10.75,92.34,103.08,37.52,10.39
2023-07-13,"Charlotte Gardens/Tremont/Van Nest/West Farms","Bronx","10460","10460","18+",42448,4497,37178,41675,15067,4156,10.59,87.58,98.18,35.5,9.79
2023-07-13,"Morris Park/Pelham Bay/Westchester Square","Bronx","10461","10461","18+",38803.26,3160,37456,40616,19054,6386,8.14,96.53,104.67,49.1,16.46
2023-07-13,"Parkchester/Pelham Parkway/Van Nest/Westchester Square","Bronx","10462","10462","18+",58726.65,5012,57319,62331,28601,8961,8.53,97.6,106.14,48.7,15.26
2023-07-13,"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil","Bronx","10463","10463","18+",56284.98,4512,48987,53499,27581,12193,8.02,87.03,95.05,49,21.66
2023-07-13,"City Island","Bronx","10464","10464","18+",3510.49,221,3282,3503,2028,886,6.3,93.49,99.79,57.77,25.24
2023-07-13,"Country Club/Throgs Neck","Bronx","10465","10465","18+",33825.65,2083,27298,29381,13441,4457,6.16,80.7,86.86,39.74,13.18
2023-07-13,"Edenwald/Wakefield","Bronx","10466","10466","18+",54731.54,4128,43425,47553,19538,5505,7.54,79.34,86.88,35.7,10.06
2023-07-13,"Allerton/Norwood/Pelham Parkway/Williamsbridge","Bronx","10467","10467","18+",77336.23,7031,67539,74570,30283,9523,9.09,87.33,96.42,39.16,12.31
2023-07-13,"Fordham/Kingsbridge/University Heights","Bronx","10468","10468","18+",58195.5,5660,49853,55513,20116,5813,9.73,85.66,95.39,34.57,9.99
2023-07-13,"Allerton/Baychester/Pelham Gardens/Williamsbridge","Bronx","10469","10469","18+",56415.64,4068,44755,48823,21446,6631,7.21,79.33,86.54,38.01,11.75
2023-07-13,"Wakefield/Woodlawn","Bronx","10470","10470","18+",11835.69,932,10448,11380,5172,1547,7.87,88.28,96.15,43.7,13.07
2023-07-13,"Fieldston/North Riverdale/Riverdale","Bronx","10471","10471","18+",17715.36,1436,15925,17361,10365,5378,8.11,89.89,98,58.51,30.36
2023-07-13,"Soundview","Bronx","10472","10472","18+",50865.6,5191,45176,50367,18723,5174,10.21,88.81,99.02,36.81,10.17
2023-07-13,"Castle Hill/Clason Point/Soundview","Bronx","10473","10473","18+",45025.1,3667,38899,42566,18871,6386,8.14,86.39,94.54,41.91,14.18
2023-07-13,"Hunts Point","Bronx","10474","10474","18+",8716.2,966,7381,8347,2867,788,11.08,84.68,95.76,32.89,9.04
2023-07-13,"Co-op City/Edenwald","Bronx","10475","10475","18+",36101.58,1849,29018,30867,17101,7037,5.12,80.38,85.5,47.37,19.49
2023-07-13,"Bellerose/Douglaston-Little Neck","Queens","11004","11004, 11005","18+",16322.92,784,14024,14808,9733,3857,4.8,85.92,90.72,59.63,23.63
2023-07-13,"Astoria (South)/Long Island City/Sunnyside","Queens","11101","11101","18+",30635.13,7666,38700,46366,22273,10125,25.02,126.33,151.35,72.7,33.05
2023-07-13,"Astoria (North)","Queens","11102","11102","18+",24950.08,2774,27413,30187,15364,6281,11.12,109.87,120.99,61.58,25.17
2023-07-13,"Astoria (North)/Astoria (South)","Queens","11103","11103","18+",29828.42,2716,28342,31058,15724,6122,9.11,95.02,104.12,52.71,20.52
2023-07-13,"Sunnyside","Queens","11104","11104","18+",21569.04,1883,21563,23446,13264,5558,8.73,99.97,108.7,61.5,25.77
2023-07-13,"Ditmars Steinway","Queens","11105","11105","18+",30844.19,2213,26564,28777,15467,6045,7.17,86.12,93.3,50.15,19.6
2023-07-13,"Astoria (South)","Queens","11106","11106","18+",31753.42,3102,31036,34138,18163,7640,9.77,97.74,107.51,57.2,24.06
2023-07-13,"Long Island City","Queens","11109","11109","18+",5343.22,822,5362,6184,3640,1730,15.38,100.35,115.74,68.12,32.38
2023-07-13,"Brooklyn Heights/DUMBO/Downtown Brooklyn","Brooklyn","11201","11201","18+",53066.26,7239,52901,60140,36741,22236,13.64,99.69,113.33,69.24,41.9
2023-07-13,"East Flatbush (North)/East Flatbush (South)","Brooklyn","11203","11203","18+",59978.9,4454,49205,53659,21291,5112,7.43,82.04,89.46,35.5,8.52
2023-07-13,"Bensonhurst/Mapleton","Brooklyn","11204","11204","18+",56436.82,4285,47542,51827,24993,6823,7.59,84.24,91.83,44.28,12.09
2023-07-13,"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene","Brooklyn","11205","11205","18+",33743.15,3255,24597,27852,14375,6756,9.65,72.89,82.54,42.6,20.02
2023-07-13,"Williamsburg (South)","Brooklyn","11206","11206","18+",62134.07,6132,49588,55720,24388,8456,9.87,79.81,89.68,39.25,13.61
2023-07-13,"Cypress Hills/East New York","Brooklyn","11207","11207","18+",66642.05,6683,57129,63812,22372,5858,10.03,85.73,95.75,33.57,8.79
2023-07-13,"Cypress Hills/East New York","Brooklyn","11208","11208","18+",70401.64,6996,61548,68544,25230,5514,9.94,87.42,97.36,35.84,7.83
