"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS"
2021-06-06,"Claremont/Morrisania","Bronx","10456","10456","18+",66839.64,5806,27760,33566,8.69,41.53,50.22
2021-06-06,"Belmont/Claremont/Mount Hope/Tremont","Bronx","10457","10457","18+",53117.58,4965,22688,27653,9.35,42.71,52.06
2021-06-06,"Belmont/Fordham University/Kingsbridge","Bronx","10458","10458","18+",60560.21,5407,25916,31323,8.93,42.79,51.72
2021-06-06,"Charlotte Gardens/Hunts Point","Bronx","10459","10459","18+",34636.24,3111,15500,18611,8.98,44.75,53.73
2021-06-06,"Charlotte Gardens/Tremont/Van Nest/West Farms","Bronx","10460","10460","18+",42448,3480,18026,21506,8.2,42.47,50.66
2021-06-06,"Morris Park/Pelham Bay/Westchester Square","Bronx","10461","10461","18+",38803.26,3285,24206,27491,8.47,62.38,70.85
2021-06-06,"Parkchester/Pelham Parkway/Van Nest/Westchester Square","Bronx","10462","10462","18+",58726.65,5724,32586,38310,9.75,55.49,65.23
2021-06-06,"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil","Bronx","10463","10463","18+",56284.98,4405,31979,36384,7.83,56.82,64.64
2021-06-06,"City Island","Bronx","10464","10464","18+",3510.49,213,2358,2571,6.07,67.17,73.24
2021-06-06,"Country Club/Throgs Neck","Bronx","10465","10465","18+",33825.65,2084,17479,19563,6.16,51.67,57.83
2021-06-06,"Edenwald/Wakefield","Bronx","10466","10466","18+",54731.54,3388,21465,24853,6.19,39.22,45.41
2021-06-06,"Allerton/Norwood/Pelham Parkway/Williamsbridge","Bronx","10467","10467","18+",77336.23,6068,34563,40631,7.85,44.69,52.54
2021-06-06,"Fordham/Kingsbridge/University Heights","Bronx","10468","10468","18+",58195.5,5123,25811,30934,8.8,44.35,53.16
2021-06-06,"Allerton/Baychester/Pelham Gardens/Williamsbridge","Bronx","10469","10469","18+",56415.64,3654,24755,28409,6.48,43.88,50.36
2021-06-06,"Wakefield/Woodlawn","Bronx","10470","10470","18+",11835.69,781,6085,6866,6.6,51.41,58.01
2021-06-06,"Fieldston/North Riverdale/Riverdale","Bronx","10471","10471","18+",17715.36,1200,12098,13298,6.77,68.29,75.06
2021-06-06,"Soundview","Bronx","10472","10472","18+",50865.6,4602,22704,27306,9.05,44.64,53.68
2021-06-06,"Castle Hill/Clason Point/Soundview","Bronx","10473","10473","18+",45025.1,3279,20713,23992,7.28,46,53.29
2021-06-06,"Hunts Point","Bronx","10474","10474","18+",8716.2,690,3423,4113,7.92,39.27,47.19
2021-06-06,"Co-op City/Edenwald","Bronx","10475","10475","18+",36101.58,1666,18618,20284,4.61,51.57,56.19
2021-06-06,"Bellerose/Douglaston-Little Neck","Queens","11004","11004, 11005","18+",16322.92,1081,10147,11228,6.62,62.16,68.79
2021-06-06,"Astoria (South)/Long Island City/Sunnyside","Queens","11101","11101","18+",30635.13,3515,24719,28234,11.47,80.69,92.16
2021-06-06,"Astoria (North)","Queens","11102","11102","18+",24950.08,2582,17738,20320,10.35,71.09,81.44
2021-06-06,"Astoria (North)/Astoria (South)","Queens","11103","11103","18+",29828.42,2883,18589,21472,9.67,62.32,71.99
2021-06-06,"Sunnyside","Queens","11104","11104","18+",21569.04,2026,15180,17206,9.39,70.38,79.77
2021-06-06,"Ditmars Steinway","Queens","11105","11105","18+",30844.19,2274,17691,19965,7.37,57.36,64.73
2021-06-06,"Astoria (South)","Queens","11106","11106","18+",31753.42,3203,20784,23987,10.09,65.45,75.54
2021-06-06,"Long Island City","Queens","11109","11109","18+",5343.22,435,4132,4567,8.14,77.33,85.47
2021-06-06,"Brooklyn Heights/DUMBO/Downtown Brooklyn","Brooklyn","11201","11201","18+",53066.26,4006,39862,43868,7.55,75.12,82.67
2021-06-06,"East Flatbush (North)/East Flatbush (South)","Brooklyn","11203","11203","18+",59978.9,4309,25300,29609,7.18,42.18,49.37
2021-06-06,"Bensonhurst/Mapleton","Brooklyn","11204","11204","18+",56436.82,5040,28086,33126,8.93,49.77,58.7
2021-06-06,"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene","Brooklyn","11205","11205","18+",33743.15,2096,16040,18136,6.21,47.54,53.75
2021-06-06,"Williamsburg (South)","Brooklyn","11206","11206","18+",62134.07,4690,29649,34339,7.55,47.72,55.27
2021-06-06,"Cypress Hills/East New York","Brooklyn","11207","11207","18+",66642.05,5551,26390,31941,8.33,39.6,47.93
2021-06-06,"Cypress Hills/East New York","Brooklyn","11208","11208","18+",70401.64,6154,29552,35706,8.74,41.98,50.72
2021-06-06,"Bay Ridge/Fort Hamilton","Brooklyn","11209","11209","18+",54828.8,4498,32599,37097,8.2,59.46,67.66
2021-06-06,"Flatlands/Midwood","Brooklyn","11210","11210","18+",49548.95,3088,18561,21649,6.23,37.46,43.69
2021-06-06,"East Williamsburg/Williamsburg (North)/Williamsburg (South)","Brooklyn","11211","11211, 11249","18+",74916.07,5792,42354,48146,7.73,56.54,64.27
2021-06-06,"Ocean Hill-Brownsville","Brooklyn","11212","11212","18+",55341.02,4324,21077,25401,7.81,38.09,45.9
2021-06-06,"Crown Heights (East)","Brooklyn","11213","11213","18+",48644.6,3056,19165,22221,6.28,39.4,45.68
2021-06-06,"Bath Beach/Bensonhurst/Gravesend","Brooklyn","11214","11214","18+",73712.3,6956,37903,44859,9.44,51.42,60.86
