"DATE","POPULATION","GROUP","SUBGROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL","PERC_BIVALENT_ADDITIONAL"
2023-02-02,"All ages","Age","'25-34",1483699,"189501","1261795","1451296","542020","194541",12.77,85.04,97.82,36.53,13.11
2023-02-02,"All ages","Age","'35-44",1136906,"117461","1072086","1189547","501603","164724",10.33,94.3,104.63,44.12,14.49
2023-02-02,"All ages","Age","'45-54",1028087,"84215","958417","1042632","516268","157280",8.19,93.22,101.41,50.22,15.3
2023-02-02,"All ages","Age","'55-64",998927,"71231","940634","1011865","581828","202474",7.13,94.16,101.3,58.25,20.27
2023-02-02,"All ages","Age","'65-74",718795,"45545","658222","703767","465171","205765",6.34,91.57,97.91,64.72,28.63
2023-02-02,"All ages","Age","'75-84",382672,"21034","310323","331357","224471","101272",5.5,81.09,86.59,58.66,26.46
2023-02-02,"All ages","Age","'85+",178938,"8555","116365","124920","77767","32354",4.78,65.03,69.81,43.46,18.08
2023-02-02,"All ages","Borough","Citywide",8336815,"789923","6738763","7528686","3358048","1198127",9.48,80.83,90.31,40.28,14.37
2023-02-02,"All ages","Borough","Bronx",1418208,"125320","1091982","1217302","449044","124451",8.84,77,85.83,31.66,8.78
2023-02-02,"All ages","Borough","Brooklyn",2559901,"204373","1899113","2103486","917173","311204",7.98,74.19,82.17,35.83,12.16
2023-02-02,"All ages","Borough","Manhattan",1628706,"235680","1409330","1645010","823308","431002",14.47,86.53,101,50.55,26.46
2023-02-02,"All ages","Borough","Queens",2253857,"194759","1973427","2168186","998605","286433",8.64,87.56,96.2,44.31,12.71
2023-02-02,"All ages","Borough","Staten Island",476143,"29791","364911","394702","169918","45037",6.26,76.64,82.9,35.69,9.46
2023-02-02,"All ages","Race/ethnicity","Asian/NHPI",1233643,"124352","1245828","1370180","784132","254084",10.08,100.99,111.07,63.56,20.6
2023-02-02,"All ages","Race/ethnicity","Black",1825847,"110196","1144329","1254525","513892","143602",6.04,62.67,68.71,28.15,7.86
2023-02-02,"All ages","Race/ethnicity","Hispanic/Latino",2423589,"261570","1827079","2088649","732039","193037",10.79,75.39,86.18,30.2,7.96
2023-02-02,"All ages","Race/ethnicity","Native American/Alaska Native",18864,"2330","22996","25326","12836","4521",12.35,121.9,134.26,68.04,23.97
2023-02-02,"All ages","Race/ethnicity","Other",,"66376","344512","410888","98464","22097",,,,,
2023-02-02,"All ages","Race/ethnicity","Multiracial",152897,"1068","10161","11229","5144","2421",0.7,6.65,7.34,3.36,1.58
2023-02-02,"All ages","Race/ethnicity","Unknown",,"77383","377478","454861","113510","36992",,,,,
2023-02-02,"All ages","Race/ethnicity","White",2681975,"146648","1766380","1913028","1098031","541373",5.47,65.86,71.33,40.94,20.19
2023-02-02,"All ages","Sex","Female",4358377,"387466","3533510","3920976","1839323","656778",8.89,81.07,89.96,42.2,15.07
2023-02-02,"All ages","Sex","Male",3978438,"393670","3159371","3553041","1502120","539754",9.9,79.41,89.31,37.76,13.57
2023-02-02,"All ages","Sex","Other",,"618","2432","3050","974","189",,,,,
2023-02-02,"All ages","Sex","Prefer not to answer",,"5187","12889","18076","4806","352",,,,,
2023-02-02,"All ages","Sex","Unknown",,"2982","30561","33543","10825","1054",,,,,
