DATE,NEIGHBORHOOD_NAME,BOROUGH,MODZCTA,Label,AGE_GROUP,POP_DENOMINATOR,COUNT_PARTIALLY_CUMULATIVE,COUNT_FULLY_CUMULATIVE,COUNT_1PLUS_CUMULATIVE,PERC_PARTIALLY,PERC_FULLY,PERC_1PLUS
2/13/2022,Mott Haven/Port Morris,Bronx,10454,10454,'5-17,7473.21,1032,3615,4647,13.81,48.37,62.18
2/13/2022,Mott Haven,Bronx,10455,10455,'5-17,8109.73,1067,4003,5070,13.16,49.36,62.52
2/13/2022,Claremont/Morrisania,Bronx,10456,10456,'5-17,18869.24,2187,7943,10130,11.59,42.09,53.69
2/13/2022,Belmont/Claremont/Mount Hope/Tremont,Bronx,10457,10457,'5-17,14537.14,1897,6799,8696,13.05,46.77,59.82
2/13/2022,Belmont/Fordham University/Kingsbridge,Bronx,10458,10458,'5-17,15601.93,1592,7041,8633,10.2,45.13,55.33
2/13/2022,Charlotte Gardens/Hunts Point,Bronx,10459,10459,'5-17,9407.16,1040,4428,5468,11.06,47.07,58.13
2/13/2022,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx,10460,10460,'5-17,11742.36,1276,5066,6342,10.87,43.14,54.01
2/13/2022,Morris Park/Pelham Bay/Westchester Square,Bronx,10461,10461,'5-17,7216.33,587,3765,4352,8.13,52.17,60.31
2/13/2022,Parkchester/Pelham Parkway/Van Nest/Westchester Square,Bronx,10462,10462,'5-17,11611.02,1308,7168,8476,11.27,61.73,73
2/13/2022,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,Bronx,10463,10463,'5-17,9275.67,972,5303,6275,10.48,57.17,67.65
2/13/2022,City Island,Bronx,10464,10464,'5-17,590.75,40,278,318,6.77,47.06,53.83
2/13/2022,Country Club/Throgs Neck,Bronx,10465,10465,'5-17,6829.45,469,2765,3234,6.87,40.49,47.35
2/13/2022,Edenwald/Wakefield,Bronx,10466,10466,'5-17,12134.78,1153,5243,6396,9.5,43.21,52.71
2/13/2022,Allerton/Norwood/Pelham Parkway/Williamsbridge,Bronx,10467,10467,'5-17,17322.93,1853,8357,10210,10.7,48.24,58.94
2/13/2022,Fordham/Kingsbridge/University Heights,Bronx,10468,10468,'5-17,13724.77,1526,6372,7898,11.12,46.43,57.55
2/13/2022,Allerton/Baychester/Pelham Gardens/Williamsbridge,Bronx,10469,10469,'5-17,11844.75,1043,4896,5939,8.81,41.33,50.14
2/13/2022,Wakefield/Woodlawn,Bronx,10470,10470,'5-17,2213.47,209,958,1167,9.44,43.28,52.72
2/13/2022,Fieldston/North Riverdale/Riverdale,Bronx,10471,10471,'5-17,2279.5,256,1853,2109,11.23,81.29,92.52
2/13/2022,Soundview,Bronx,10472,10472,'5-17,12200.19,1433,6640,8073,11.75,54.43,66.17
2/13/2022,Castle Hill/Clason Point/Soundview,Bronx,10473,10473,'5-17,10583.9,1128,4878,6006,10.66,46.09,56.75
2/13/2022,Hunts Point,Bronx,10474,10474,'5-17,2306.79,307,1112,1419,13.31,48.21,61.51
2/13/2022,Co-op City/Edenwald,Bronx,10475,10475,'5-17,4895.83,453,2460,2913,9.25,50.25,59.5
2/13/2022,Bellerose/Douglaston-Little Neck,Queens,11004,"11004, 11005",'5-17,1919.94,211,1113,1324,10.99,57.97,68.96
2/13/2022,Astoria (South)/Long Island City/Sunnyside,Queens,11101,11101,'5-17,4061.31,480,2356,2836,11.82,58.01,69.83
