"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL","PERC_BIVALENT_ADDITIONAL"
2023-07-27,"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene","Brooklyn","11205","11205","All ages",45332.4,3750,27798,31548,15264,7549,8.27,61.32,69.59,33.67,16.65
2023-07-27,"Williamsburg (South)","Brooklyn","11206","11206","All ages",86709.93,6953,54379,61332,25183,8855,8.02,62.71,70.73,29.04,10.21
2023-07-27,"Cypress Hills/East New York","Brooklyn","11207","11207","All ages",89031.83,8157,64963,73120,23456,6378,9.16,72.97,82.13,26.35,7.16
2023-07-27,"Cypress Hills/East New York","Brooklyn","11208","11208","All ages",95565.18,8620,71386,80006,26764,6011,9.02,74.7,83.72,28.01,6.29
2023-07-27,"Bay Ridge/Fort Hamilton","Brooklyn","11209","11209","All ages",67514.44,4499,56051,60550,30400,11930,6.66,83.02,89.68,45.03,17.67
2023-07-27,"Flatlands/Midwood","Brooklyn","11210","11210","All ages",65687.01,3823,41490,45313,17014,4699,5.82,63.16,68.98,25.9,7.15
2023-07-27,"East Williamsburg/Williamsburg (North)/Williamsburg (South)","Brooklyn","11211","11211, 11249","All ages",101667.01,8222,62463,70685,33365,16269,8.09,61.44,69.53,32.82,16
2023-07-27,"Ocean Hill-Brownsville","Brooklyn","11212","11212","All ages",73966.99,7433,58122,65555,20428,4998,10.05,78.58,88.63,27.62,6.76
2023-07-27,"Crown Heights (East)","Brooklyn","11213","11213","All ages",64601.26,5028,41467,46495,17442,5316,7.78,64.19,71.97,27,8.23
2023-07-27,"Bath Beach/Bensonhurst/Gravesend","Brooklyn","11214","11214","All ages",92814.16,6649,74750,81399,36704,11230,7.16,80.54,87.7,39.55,12.1
2023-07-27,"Gowanus/Park Slope/Windsor Terrace","Brooklyn","11215","11215","All ages",69624.37,5822,60682,66504,41634,27661,8.36,87.16,95.52,59.8,39.73
2023-07-27,"Bedford-Stuyvesant (West)/Crown Heights (West)","Brooklyn","11216","11216","All ages",54825.36,5540,42282,47822,22603,10278,10.1,77.12,87.23,41.23,18.75
2023-07-27,"Boerum Hill/Park Slope","Brooklyn","11217","11217, 11243","All ages",40870.72,4227,33906,38133,21697,13418,10.34,82.96,93.3,53.09,32.83
2023-07-27,"Kensington/Windsor Terrace","Brooklyn","11218","11218","All ages",73995.92,4797,55315,60112,29312,13068,6.48,74.75,81.24,39.61,17.66
2023-07-27,"Borough Park","Brooklyn","11219","11219","All ages",90082.53,5373,49393,54766,22947,5864,5.96,54.83,60.8,25.47,6.51
2023-07-27,"Sunset Park","Brooklyn","11220","11220","All ages",94590.76,12656,100614,113270,50491,14859,13.38,106.37,119.75,53.38,15.71
2023-07-27,"Bedford-Stuyvesant (East)/Bushwick","Brooklyn","11221","11221","All ages",81440.74,8606,61792,70398,27845,10094,10.57,75.87,86.44,34.19,12.39
2023-07-27,"Greenpoint","Brooklyn","11222","11222","All ages",36123.42,3880,33144,37024,19809,9691,10.74,91.75,102.49,54.84,26.83
2023-07-27,"Gravesend/Homecrest","Brooklyn","11223","11223","All ages",81491.64,5021,55062,60083,25245,7152,6.16,67.57,73.73,30.98,8.78
2023-07-27,"Brighton Beach/Coney Island/Seagate","Brooklyn","11224","11224","All ages",46270.81,3110,31276,34386,13248,3514,6.72,67.59,74.31,28.63,7.59
2023-07-27,"Crown Heights (West)/Prospect Lefferts Gardens","Brooklyn","11225","11225","All ages",57513.69,4217,42422,46639,21584,8893,7.33,73.76,81.09,37.53,15.46
2023-07-27,"Flatbush/Prospect Lefferts Gardens","Brooklyn","11226","11226","All ages",97355.08,9175,78449,87624,34268,12357,9.42,80.58,90,35.2,12.69
2023-07-27,"Bath Beach/Dyker Heights","Brooklyn","11228","11228","All ages",44983.02,2737,35624,38361,19225,5643,6.08,79.19,85.28,42.74,12.54
2023-07-27,"Gerritsen Beach/Homecrest/Sheepshead Bay","Brooklyn","11229","11229","All ages",83531.47,4345,57416,61761,27797,9079,5.2,68.74,73.94,33.28,10.87
2023-07-27,"Midwood","Brooklyn","11230","11230","All ages",88889.21,5322,54561,59883,22776,7148,5.99,61.38,67.37,25.62,8.04
2023-07-27,"Carroll Gardens/Cobble Hill/Red Hook","Brooklyn","11231","11231","All ages",37376.63,2939,30198,33137,19025,11019,7.86,80.79,88.66,50.9,29.48
2023-07-27,"Sunset Park","Brooklyn","11232","11232","All ages",27085.73,2596,22703,25299,11161,4058,9.58,83.82,93.4,41.21,14.98
2023-07-27,"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville","Brooklyn","11233","11233","All ages",74323.4,6159,47585,53744,19929,6895,8.29,64.02,72.31,26.81,9.28
2023-07-27,"Bergen Beach/Flatlands/Marine Park/Mill Basin","Brooklyn","11234","11234","All ages",94056.07,4749,63298,68047,29039,8350,5.05,67.3,72.35,30.87,8.88
2023-07-27,"Brighton Beach/Manhattan Beach/Sheepshead Bay","Brooklyn","11235","11235","All ages",78197.62,5007,60605,65612,24957,6572,6.4,77.5,83.91,31.92,8.4
2023-07-27,"Canarsie","Brooklyn","11236","11236","All ages",97117.19,6186,67169,73355,26782,6463,6.37,69.16,75.53,27.58,6.65
2023-07-27,"Bushwick/East Williamsburg","Brooklyn","11237","11237","All ages",48000.58,5989,39781,45770,17221,5693,12.48,82.88,95.35,35.88,11.86
2023-07-27,"Clinton Hill/Prospect Heights","Brooklyn","11238","11238","All ages",53548.62,5148,48800,53948,30487,17363,9.61,91.13,100.75,56.93,32.42
2023-07-27,"East New York","Brooklyn","11239","11239","All ages",13022.3,1132,13155,14287,5554,1592,8.69,101.02,109.71,42.65,12.23
2023-07-27,"Flushing/Murray Hill","Queens","11354","11354","All ages",53918.85,5492,54990,60482,32640,11387,10.19,101.99,112.17,60.54,21.12
2023-07-27,"Flushing/Murray Hill/Queensboro Hill","Queens","11355","11355","All ages",78852.89,9656,90818,100474,53467,15765,12.25,115.17,127.42,67.81,19.99
2023-07-27,"College Point","Queens","11356","11356","All ages",22814.02,2687,23659,26346,11203,3245,11.78,103.7,115.48,49.11,14.22
2023-07-27,"Whitestone","Queens","11357","11357","All ages",38714.77,2454,33977,36431,19407,6521,6.34,87.76,94.1,50.13,16.84
2023-07-27,"Auburndale/Murray Hill","Queens","11358","11358","All ages",36024.61,2859,35398,38257,20798,6795,7.94,98.26,106.2,57.73,18.86
2023-07-27,"Bayside (North)","Queens","11360","11360","All ages",19045.39,1102,16710,17812,11127,5086,5.79,87.74,93.52,58.42,26.7
2023-07-27,"Bayside (North)/Bayside (South)","Queens","11361","11361","All ages",26370.6,1957,25135,27092,15263,5396,7.42,95.31,102.74,57.88,20.46
2023-07-27,"Douglaston-Little Neck","Queens","11362","11362","All ages",18101.72,1099,15790,16889,10212,4166,6.07,87.23,93.3,56.41,23.01
2023-07-27,"Douglaston-Little Neck","Queens","11363","11363","All ages",6735.31,416,5990,6406,3929,1626,6.18,88.93,95.11,58.33,24.14
2023-07-27,"Bayside (South)/Oakland Gardens","Queens","11364","11364","All ages",35688.29,2150,32305,34455,20858,7775,6.02,90.52,96.54,58.44,21.79
2023-07-27,"Auburndale/Fresh Meadows/Pomonok/Utopia","Queens","11365","11365","All ages",43815.08,3322,39226,42548,22169,7197,7.58,89.53,97.11,50.6,16.43
2023-07-27,"Fresh Meadows/Hillcrest","Queens","11366","11366","All ages",14208.14,982,11710,12692,6757,2543,6.91,82.42,89.33,47.56,17.9
2023-07-27,"Kew Gardens Hills/Pomonok","Queens","11367","11367","All ages",40676.04,2840,30798,33638,16016,4992,6.98,75.72,82.7,39.37,12.27
2023-07-27,"Corona/North Corona","Queens","11368","11368","All ages",110369.78,15338,105980,121318,36643,7932,13.9,96.02,109.92,33.2,7.19
2023-07-27,"Airport/East Elmhurst","Queens","11369","11369","All ages",33627.74,4214,33689,37903,14178,3761,12.53,100.18,112.71,42.16,11.18
2023-07-27,"Jackson Heights/Rikers Island","Queens","11370","11370","All ages",31777.34,2552,25086,27638,12143,3543,8.03,78.94,86.97,38.21,11.15
2023-07-27,"Jackson Heights","Queens","11372","11372","All ages",60682.72,7352,65398,72750,33481,11788,12.12,107.77,119.89,55.17,19.43
2023-07-27,"Elmhurst","Queens","11373","11373","All ages",91655.7,10661,101311,111972,53744,15926,11.63,110.53,122.17,58.64,17.38
2023-07-27,"Rego Park","Queens","11374","11374","All ages",41393.74,2974,36933,39907,20279,7475,7.18,89.22,96.41,48.99,18.06
2023-07-27,"Forest Hills","Queens","11375","11375","All ages",71266.52,4411,58042,62453,36353,17542,6.19,81.44,87.63,51.01,24.61
2023-07-27,"Woodside","Queens","11377","11377","All ages",84048.11,7988,80815,88803,42211,14004,9.5,96.15,105.66,50.22,16.66
2023-07-27,"Maspeth","Queens","11378","11378","All ages",36145.45,2738,29662,32400,14229,3776,7.57,82.06,89.64,39.37,10.45
2023-07-27,"Middle Village","Queens","11379","11379","All ages",36636.49,2036,28551,30587,14676,4706,5.56,77.93,83.49,40.06,12.85
2023-07-27,"Glendale/Ridgewood","Queens","11385","11385","All ages",103615.19,8411,78336,86747,34995,10855,8.12,75.6,83.72,33.77,10.48
2023-07-27,"Cambria Heights","Queens","11411","11411","All ages",21378.1,1339,15055,16394,7106,2164,6.26,70.42,76.69,33.24,10.12
2023-07-27,"St. Albans","Queens","11412","11412","All ages",38097.58,2763,28043,30806,11765,3225,7.25,73.61,80.86,30.88,8.47
2023-07-27,"Laurelton/Rosedale","Queens","11413","11413","All ages",43206.88,2705,29771,32476,12863,3631,6.26,68.9,75.16,29.77,8.4
2023-07-27,"Hamilton Beach/Howard Beach/Lindenwood","Queens","11414","11414","All ages",28358.4,1328,19734,21062,9710,2891,4.68,69.59,74.27,34.24,10.19
2023-07-27,"Kew Gardens","Queens","11415","11415","All ages",18873.03,1270,15203,16473,8256,3128,6.73,80.55,87.28,43.74,16.57
2023-07-27,"Ozone Park","Queens","11416","11416","All ages",26389.62,2093,22888,24981,9914,1948,7.93,86.73,94.66,37.57,7.38
2023-07-27,"Ozone Park","Queens","11417","11417","All ages",31041.34,2253,26667,28920,12733,3012,7.26,85.91,93.17,41.02,9.7
2023-07-27,"Richmond Hill","Queens","11418","11418","All ages",37585.6,3218,31318,34536,14169,3778,8.56,83.32,91.89,37.7,10.05
2023-07-27,"Richmond Hill/South Ozone Park","Queens","11419","11419","All ages",48504.92,3718,42280,45998,19118,3790,7.67,87.17,94.83,39.41,7.81
2023-07-27,"South Ozone Park","Queens","11420","11420","All ages",47835.06,3046,39788,42834,18172,3771,6.37,83.18,89.55,37.99,7.88
2023-07-27,"Woodhaven","Queens","11421","11421","All ages",40049.5,3313,35382,38695,16299,4160,8.27,88.35,96.62,40.7,10.39
2023-07-27,"Rosedale","Queens","11422","11422","All ages",32389.06,2256,23275,25531,10186,2610,6.97,71.86,78.83,31.45,8.06
2023-07-27,"Hollis/Holliswood","Queens","11423","11423","All ages",31138.4,2145,26032,28177,13193,3839,6.89,83.6,90.49,42.37,12.33
2023-07-27,"Bellerose","Queens","11426","11426","All ages",20163.58,1194,16323,17517,9368,2955,5.92,80.95,86.87,46.46,14.66
2023-07-27,"Bellerose/Hollis Hills/Holliswood","Queens","11427","11427","All ages",23572.82,1676,21602,23278,11514,3673,7.11,91.64,98.75,48.84,15.58
2023-07-27,"Queens Village","Queens","11428","11428","All ages",18580.92,1401,17060,18461,8986,2410,7.54,91.81,99.35,48.36,12.97
2023-07-27,"Queens Village","Queens","11429","11429","All ages",32168.3,2022,22742,24764,10531,2818,6.29,70.7,76.98,32.74,8.76
2023-07-27,"Hillcrest/Jamaica Estates/Jamaica Hills","Queens","11432","11432","All ages",60754.71,5979,56914,62893,28777,8823,9.84,93.68,103.52,47.37,14.52
2023-07-27,"Jamaica","Queens","11433","11433","All ages",36521.92,3083,28504,31587,11659,3032,8.44,78.05,86.49,31.92,8.3
2023-07-27,"Airport/South Jamaica/Springfield Gardens/St. Albans","Queens","11434","11434","All ages",66763.37,5193,48327,53520,20500,5748,7.78,72.39,80.16,30.71,8.61
2023-07-27,"Briarwood/Jamaica","Queens","11435","11435","All ages",58415.04,4629,46959,51588,21363,6107,7.92,80.39,88.31,36.57,10.45
